case_name,mode,provider,model,runtime_seconds,llm_calls,initial_issue_count,final_issue_count,resolved_issue_count,average_f1,initial_class_precision,initial_class_recall,initial_class_f1,initial_attribute_precision,initial_attribute_recall,initial_attribute_f1,initial_relationship_strict_f1,initial_relationship_relaxed_f1,final_class_precision,final_class_recall,final_class_f1,final_attribute_precision,final_attribute_recall,final_attribute_f1,final_relationship_strict_precision,final_relationship_strict_recall,final_relationship_strict_f1,final_relationship_relaxed_precision,final_relationship_relaxed_recall,final_relationship_relaxed_f1
airlines,rethink,ollama,qwen2.5:3b,28.637352665999998,7,1,1,0,0.3303571428571429,0.5,0.6666666666666666,0.5714285714285715,0.75,0.75,0.75,0.0,0.0,0.5,0.6666666666666666,0.5714285714285715,0.75,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0
amphibious,rethink,ollama,qwen2.5:3b,42.472811750000005,7,1,1,0,0.5659722222222222,1.0,0.8,0.888888888888889,0.25,0.75,0.375,0.0,1.0,1.0,0.8,0.888888888888889,0.25,0.75,0.375,0.0,0.0,0.0,1.0,1.0,1.0
car,rethink,ollama,qwen2.5:3b,45.423546875,9,1,1,0,0.6375,1.0,1.0,1.0,0.8571428571428571,0.75,0.7999999999999999,0.0,0.7499999999999999,1.0,1.0,1.0,0.8571428571428571,0.75,0.7999999999999999,0.0,0.0,0.0,0.6,1.0,0.7499999999999999
files,rethink,ollama,qwen2.5:3b,27.244113083,6,1,1,0,0.9642857142857143,1.0,1.0,1.0,0.75,1.0,0.8571428571428571,1.0,1.0,1.0,1.0,1.0,0.75,1.0,0.8571428571428571,1.0,1.0,1.0,1.0,1.0,1.0
robots,rethink,ollama,qwen2.5:3b,41.80720924999997,9,1,1,0,0.41666666666666663,1.0,1.0,1.0,0.625,0.7142857142857143,0.6666666666666666,0.0,0.0,1.0,1.0,1.0,0.625,0.7142857142857143,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
theater,rethink,ollama,qwen2.5:3b,48.848268000000004,10,1,1,0,0.5034188034188034,1.0,0.6666666666666666,0.8,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.15384615384615385,0.6153846153846154,1.0,0.6666666666666666,0.8,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.2,0.125,0.15384615384615385,0.8,0.5,0.6153846153846154
uni,rethink,ollama,qwen2.5:3b,43.586797125,8,1,1,0,0.5875,0.75,0.75,0.75,0.5,0.75,0.6,0.3333333333333333,0.6666666666666666,0.75,0.75,0.75,0.5,0.75,0.6,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666
videostore,rethink,ollama,qwen2.5:3b,24.416873624999994,6,1,1,0,0.8392857142857143,1.0,1.0,1.0,0.75,1.0,0.8571428571428571,0.5,1.0,1.0,1.0,1.0,0.75,1.0,0.8571428571428571,0.5,0.5,0.5,1.0,1.0,1.0
airlines,rethink,ollama,qwen2.5:3b,32.71181324999998,9,1,1,0,0.3303571428571429,0.5,0.6666666666666666,0.5714285714285715,0.75,0.75,0.75,0.0,0.0,0.5,0.6666666666666666,0.5714285714285715,0.75,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0
amphibious,rethink,ollama,qwen2.5:3b,54.33294095800002,9,1,1,0,0.3159722222222222,1.0,0.8,0.888888888888889,0.25,0.75,0.375,0.0,1.0,1.0,0.8,0.888888888888889,0.25,0.75,0.375,0.0,0.0,0.0,0.0,0.0,0.0
car,rethink,ollama,qwen2.5:3b,57.11722016700003,11,1,1,0,0.4642857142857143,1.0,1.0,1.0,0.8571428571428571,0.75,0.7999999999999999,0.0,0.7499999999999999,1.0,1.0,1.0,1.0,0.75,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0
files,rethink,ollama,qwen2.5:3b,31.748475833,8,1,1,0,1.0,1.0,1.0,1.0,0.75,1.0,0.8571428571428571,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
robots,rethink,ollama,qwen2.5:3b,46.26172299999996,11,1,1,0,0.41666666666666663,1.0,1.0,1.0,0.625,0.7142857142857143,0.6666666666666666,0.0,0.0,1.0,1.0,1.0,0.625,0.7142857142857143,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
theater,rethink,ollama,qwen2.5:3b,56.582179249999996,13,1,1,0,0.5034188034188034,1.0,0.6666666666666666,0.8,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.15384615384615385,0.6153846153846154,1.0,0.6666666666666666,0.8,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.2,0.125,0.15384615384615385,0.8,0.5,0.6153846153846154
uni,rethink,ollama,qwen2.5:3b,54.579138458,11,1,1,0,0.5875,0.75,0.75,0.75,0.5,0.75,0.6,0.3333333333333333,0.6666666666666666,0.75,0.75,0.75,0.5,0.75,0.6,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666
videostore,rethink,ollama,qwen2.5:3b,28.904004749999984,8,1,1,0,0.8392857142857143,1.0,1.0,1.0,0.75,1.0,0.8571428571428571,0.5,1.0,1.0,1.0,1.0,0.75,1.0,0.8571428571428571,0.5,0.5,0.5,1.0,1.0,1.0
airlines,rethink,ollama,qwen2.5:3b,49.61003866600004,11,1,1,0,0.3303571428571429,0.5,0.6666666666666666,0.5714285714285715,0.75,0.75,0.75,0.0,0.0,0.5,0.6666666666666666,0.5714285714285715,0.75,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0
amphibious,rethink,ollama,qwen2.5:3b,83.76945375000003,11,1,1,0,0.3159722222222222,1.0,0.8,0.888888888888889,0.25,0.75,0.375,0.0,1.0,1.0,0.8,0.888888888888889,0.25,0.75,0.375,0.0,0.0,0.0,0.0,0.0,0.0
