case_name,mode,provider,model,runtime_seconds,llm_calls,initial_issue_count,final_issue_count,resolved_issue_count,average_f1,initial_class_precision,initial_class_recall,initial_class_f1,initial_attribute_precision,initial_attribute_recall,initial_attribute_f1,initial_relationship_strict_f1,initial_relationship_relaxed_f1,final_class_precision,final_class_recall,final_class_f1,final_attribute_precision,final_attribute_recall,final_attribute_f1,final_relationship_strict_precision,final_relationship_strict_recall,final_relationship_strict_f1,final_relationship_relaxed_precision,final_relationship_relaxed_recall,final_relationship_relaxed_f1
airlines,cascade,ollama,llama3.1:8b,182.13005229200007,7,3,3,0,0.29285714285714287,0.5,0.6666666666666666,0.5714285714285715,0.5,0.75,0.6,0.0,0.0,0.5,0.6666666666666666,0.5714285714285715,0.5,0.75,0.6,0.0,0.0,0.0,0.0,0.0,0.0
amphibious,cascade,ollama,llama3.1:8b,164.05865837499994,7,3,3,0,0.5972222222222222,1.0,0.8,0.888888888888889,0.5,0.5,0.5,0.0,1.0,1.0,0.8,0.888888888888889,0.5,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1.0
files,cascade,ollama,llama3.1:8b,140.342829542,6,3,3,0,0.8142857142857143,1.0,1.0,1.0,0.42857142857142855,1.0,0.6,0.8571428571428571,0.8,1.0,1.0,1.0,0.42857142857142855,1.0,0.6,0.75,1.0,0.8571428571428571,0.6666666666666666,1.0,0.8
theater,cascade,ollama,llama3.1:8b,218.179873375,8,3,3,0,0.4419642857142857,0.8571428571428571,0.6666666666666666,0.75,0.125,0.16666666666666666,0.14285714285714288,0.375,0.5,0.8571428571428571,0.6666666666666666,0.75,0.125,0.16666666666666666,0.14285714285714288,0.375,0.375,0.375,0.5,0.5,0.5
uni,cascade,ollama,llama3.1:8b,201.32188725,7,4,4,0,0.6220238095238095,0.75,0.75,0.75,0.375,0.75,0.5,0.6666666666666666,0.5714285714285715,0.75,0.75,0.75,0.375,0.75,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,0.5714285714285715
videostore,cascade,ollama,llama3.1:8b,120.91069016699998,6,2,2,0,0.875,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0
airlines,rethink,ollama,llama3.1:8b,305.796509042,12,3,2,1,0.35714285714285715,0.5,0.6666666666666666,0.5714285714285715,0.5,0.75,0.6,0.0,0.0,0.5,0.6666666666666666,0.5714285714285715,1.0,0.75,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0
amphibious,rethink,ollama,llama3.1:8b,380.4987282079999,13,3,5,0,0.6388888888888888,1.0,0.8,0.888888888888889,0.5,0.5,0.5,0.0,1.0,1.0,0.8,0.888888888888889,1.0,0.5,0.6666666666666666,0.0,0.0,0.0,1.0,1.0,1.0
files,rethink,ollama,llama3.1:8b,280.294994958,10,3,3,0,0.8184523809523809,1.0,1.0,1.0,0.42857142857142855,1.0,0.6,0.8571428571428571,0.8,1.0,1.0,1.0,0.75,1.0,0.8571428571428571,0.6,1.0,0.7499999999999999,0.5,1.0,0.6666666666666666
theater,rethink,ollama,llama3.1:8b,354.39454908300013,12,3,3,0,0.4198087129588678,0.8571428571428571,0.6666666666666666,0.75,0.125,0.16666666666666666,0.14285714285714288,0.375,0.5,0.8571428571428571,0.6666666666666666,0.75,0.125,0.16666666666666666,0.14285714285714288,0.2727272727272727,0.375,0.3157894736842105,0.4444444444444444,0.5,0.47058823529411764
